frame,type,off_bits,on_bits,bit_delta,bit_delta_pct,off_psnr,on_psnr,psnr_delta,off_mse,on_mse,mse_delta
0,I,33968,33968,0,0.000000,44.455689,29.440994,-15.014695,2.330834,73.957281,71.626447
1,P,8920,14440,5520,61.883408,43.953940,30.629089,-13.324851,2.616293,56.256339,53.640046
2,P,9104,11464,2360,25.922671,44.055637,30.616440,-13.439197,2.555740,56.420428,53.864688
3,P,8328,11768,3440,41.306436,43.955555,30.246686,-13.708869,2.615320,61.434422,58.819102
4,P,8696,13464,4768,54.829807,43.911358,30.619902,-13.291456,2.642072,56.375473,53.733401
5,P,8240,11560,3320,40.291262,43.960494,30.634596,-13.325898,2.612347,56.185054,53.572707
6,P,8120,10816,2696,33.201970,43.891944,30.628559,-13.263385,2.653909,56.263205,53.609296
7,P,8760,11712,2952,33.698630,43.912655,30.615328,-13.297327,2.641283,56.434870,53.793587
8,P,8688,11968,3280,37.753223,43.898362,30.492622,-13.405740,2.649989,58.052136,55.402147
9,P,8904,13240,4336,48.697215,43.879221,30.479798,-13.399423,2.661695,58.223801,55.562106
10,P,8976,13016,4040,45.008913,43.916419,30.476403,-13.440016,2.638994,58.269334,55.630340
11,P,8920,13800,4880,54.708520,43.886351,30.594224,-13.292127,2.657328,56.709780,54.052452
12,P,9408,13104,3696,39.285714,43.809523,30.470680,-13.338843,2.704756,58.346170,55.641414
13,P,9616,13232,3616,37.603993,43.765441,30.597333,-13.168108,2.732350,56.669192,53.936842
14,P,9776,13240,3464,35.433715,43.759383,30.457976,-13.301407,2.736164,58.517098,55.780934
15,P,10656,13880,3224,30.255255,43.569171,30.560798,-13.008373,2.858665,57.147938,54.289273
16,P,11808,14496,2688,22.764228,43.494213,30.561746,-12.932467,2.908433,57.135469,54.227036
17,P,12288,14160,1872,15.234375,43.421684,30.555041,-12.866643,2.957413,57.223748,54.266335
18,P,12792,14392,1600,12.507817,43.480800,30.552402,-12.928398,2.917430,57.258523,54.341093
19,P,12496,14152,1656,13.252241,43.356051,30.530159,-12.825892,3.002446,57.552531,54.550085
20,P,12112,13968,1856,15.323646,43.370343,30.523729,-12.846614,2.992582,57.637810,54.645228
21,P,12000,13520,1520,12.666667,43.343589,30.505321,-12.838268,3.011074,57.882628,54.871554
22,P,10832,13464,2632,24.298375,43.426168,30.510359,-12.915809,2.954361,57.815525,54.861164
23,P,10656,12840,2184,20.495495,43.440149,30.520874,-12.919275,2.944865,57.675715,54.730850
24,P,10144,12344,2200,21.687697,43.483072,30.549153,-12.933919,2.915904,57.301373,54.385469
25,P,9928,11840,1912,19.258662,43.587232,30.557059,-13.030173,2.846801,57.197154,54.350353
26,P,10408,11960,1552,14.911606,43.605771,30.542095,-13.063676,2.834675,57.394571,54.559896
27,P,10408,13240,2832,27.209839,43.514883,30.544373,-12.970510,2.894623,57.364478,54.469855
28,P,11792,13800,2008,17.028494,43.464112,30.529606,-12.934506,2.928662,57.559870,54.631208
29,P,11760,13664,1904,16.190476,43.446244,30.522893,-12.923351,2.940735,57.648911,54.708176
30,P,11944,14536,2592,21.701273,43.412500,30.516340,-12.896160,2.963673,57.735953,54.772280
31,P,11520,13736,2216,19.236111,43.457135,30.489582,-12.967553,2.933370,58.092777,55.159407
32,P,10976,14024,3048,27.769679,43.432204,30.480116,-12.952088,2.950258,58.219539,55.269281
33,P,10440,13120,2680,25.670498,43.418557,30.459278,-12.959279,2.959543,58.499553,55.540010
34,P,11536,13488,1952,16.920943,43.402067,30.417415,-12.984652,2.970802,59.066183,56.095381
35,P,11936,13624,1688,14.142091,43.377143,30.004049,-13.373094,2.987900,64.964410,61.976510
36,P,11720,15384,3664,31.262799,43.370496,30.073031,-13.297465,2.992477,63.940683,60.948206
37,P,12376,14528,2152,17.388494,43.375156,30.129090,-13.246066,2.989268,63.120633,60.131365
38,P,13368,15168,1800,13.464991,43.415007,30.100631,-13.314376,2.961963,63.535617,60.573654
39,P,12528,14944,2416,19.284802,43.353465,30.374535,-12.978930,3.004235,59.652252,56.648017
40,P,11408,14720,3312,29.032258,43.319186,30.574457,-12.744729,3.028041,56.968487,53.940446
41,P,10568,12904,2336,22.104466,43.287086,30.592480,-12.694606,3.050505,56.732560,53.682055
42,P,10344,13304,2960,28.615623,43.375805,30.608106,-12.767699,2.988820,56.528804,53.539984
43,P,9928,13144,3216,32.393231,43.454955,30.623386,-12.831569,2.934843,56.330256,53.395413
44,P,10608,12448,1840,17.345400,43.483894,30.620623,-12.863271,2.915351,56.366109,53.450758
45,P,9768,12464,2696,27.600328,43.499282,30.497585,-13.001697,2.905040,57.985822,55.080782
46,P,10024,13008,2984,29.768555,43.527135,30.608890,-12.918245,2.886469,56.518597,53.632128
47,P,11080,13304,2224,20.072202,43.473601,30.348600,-13.125001,2.922270,60.009549,57.087279
48,P,10368,14336,3968,38.271605,43.385027,30.585655,-12.799372,2.982481,56.821786,53.839305
49,P,10632,12624,1992,18.735892,43.517291,30.593030,-12.924261,2.893019,56.725379,53.832360
50,P,8928,11728,2800,31.362007,43.571810,30.593440,-12.978370,2.856929,56.720013,53.863084
51,P,8624,11088,2464,28.571429,43.573249,30.341674,-13.231575,2.855982,60.105324,57.249342
52,P,9488,12664,3176,33.473862,43.504398,30.610457,-12.893941,2.901620,56.498211,53.596591
53,P,10392,11968,1576,15.165512,43.505737,30.618694,-12.887043,2.900726,56.391151,53.490425
54,P,10256,12760,2504,24.414977,43.482797,30.623066,-12.859731,2.916088,56.334412,53.418324
55,P,9512,11704,2192,23.044575,43.453515,30.251010,-13.202505,2.935816,61.373290,58.437474
56,P,10072,13536,3464,34.392375,43.509519,30.635460,-12.874059,2.898201,56.173874,53.275673
57,P,9480,11824,2344,24.725738,43.596954,30.617009,-12.979945,2.840436,56.413037,53.572601
58,P,10232,12888,2656,25.957780,43.516896,30.621661,-12.895235,2.893282,56.352641,53.459359
59,P,10344,13184,2840,27.455530,43.454487,30.618613,-12.835874,2.935159,56.392203,53.457044
60,P,11568,14728,3160,27.316736,43.338318,30.593221,-12.745097,3.014731,56.722880,53.708149
61,P,11232,14600,3368,29.985755,43.328137,30.588491,-12.739646,3.021807,56.784696,53.762889
62,P,10896,13288,2392,21.953010,43.363172,30.575670,-12.787502,2.997527,56.952573,53.955046
63,P,11624,13200,1576,13.558156,43.345069,30.525832,-12.819237,3.010048,57.609901,54.599853
64,P,10712,12272,1560,14.563107,43.418209,30.466965,-12.951244,2.959780,58.396096,55.436316
65,P,10952,13024,2072,18.918919,43.359705,30.360839,-12.998866,2.999921,59.840672,56.840751
66,P,11896,13480,1584,13.315400,43.319149,30.294429,-13.024720,3.028067,60.762758,57.734691
67,P,12200,13904,1704,13.967213,43.359858,30.229865,-13.129993,2.999816,61.672822,58.673006
68,P,12432,14504,2072,16.666667,43.323867,30.185204,-13.138663,3.024779,62.310317,59.285538
69,P,12784,15576,2792,21.839800,43.252397,30.207242,-13.045155,3.074968,61.994923,58.919955
70,P,12432,15880,3448,27.734878,43.301942,30.299730,-13.002212,3.040088,60.688631,57.648543
71,P,13296,14088,792,5.956679,43.297172,30.439140,-12.858032,3.043429,58.771438,55.728009
72,P,12648,15824,3176,25.110689,43.231013,30.586885,-12.644128,3.090146,56.805687,53.715541
73,P,11656,13848,2192,18.805765,43.237821,30.595638,-12.642183,3.085306,56.691314,53.606008
74,P,10376,12664,2288,22.050887,43.323905,30.592599,-12.731306,3.024753,56.731008,53.706255
75,P,10360,13024,2664,25.714286,43.456473,30.596430,-12.860043,2.933817,56.680976,53.747159
76,P,11432,13528,2096,18.334500,43.375194,30.549540,-12.825654,2.989241,57.296270,54.307029
77,P,12352,13968,1616,13.082902,43.221744,30.437741,-12.784003,3.096749,58.790378,55.693629
78,P,12728,14176,1448,11.376493,43.179709,30.109061,-13.070648,3.126868,63.412405,60.285537
79,P,13224,15528,2304,17.422868,43.281959,30.186348,-13.095611,3.054109,62.293903,59.239794
80,P,13024,14640,1616,12.407862,43.199262,30.371723,-12.827539,3.112821,59.690893,56.578072
81,P,12640,14824,2184,17.278481,43.297847,30.491474,-12.806373,3.042956,58.067472,55.024516
82,P,11192,13816,2624,23.445318,43.328061,30.556394,-12.771667,3.021859,57.205913,54.184054
83,P,11664,13096,1432,12.277092,43.232455,30.607433,-12.625022,3.089120,56.537563,53.448443
84,P,11088,13048,1960,17.676768,43.285514,30.613572,-12.671942,3.051610,56.457702,53.406092
85,P,11952,13960,2008,16.800535,43.343247,30.599654,-12.743593,3.011311,56.638915,53.627604
86,P,11240,13584,2344,20.854093,43.304911,30.587575,-12.717336,3.038010,56.796665,53.758655
87,P,10952,12920,1968,17.969321,43.259015,30.600334,-12.658681,3.070286,56.630051,53.559765
88,P,11192,12544,1352,12.080057,43.295108,30.594012,-12.701096,3.044876,56.712542,53.667666
89,P,11768,13160,1392,11.828688,43.282595,30.589018,-12.693577,3.053662,56.777804,53.724142
90,P,11064,12968,1904,17.208966,43.315001,30.605146,-12.709855,3.030961,56.567340,53.536379
91,P,11832,13368,1536,12.981744,43.319828,30.605362,-12.714466,3.027594,56.564525,53.536931
92,P,11672,12600,928,7.950651,43.293982,30.612643,-12.681339,3.045665,56.469776,53.424111
93,P,11160,12920,1760,15.770609,43.252546,30.611530,-12.641016,3.074863,56.484243,53.409380
94,P,11024,13320,2296,20.827286,43.249909,30.621045,-12.628864,3.076731,56.360638,53.283907
95,P,12032,12952,920,7.646277,43.224659,30.620947,-12.603712,3.094671,56.361900,53.267229
96,P,11192,12744,1552,13.867048,43.277809,30.620406,-12.657403,3.057029,56.368924,53.311895
97,P,10440,13496,3056,29.272031,43.321186,30.632642,-12.688544,3.026647,56.210332,53.183685
98,P,9528,11608,2080,21.830395,43.345676,30.624340,-12.721336,3.009628,56.317892,53.308264
99,P,10352,11984,1632,15.765070,43.345486,30.619979,-12.725507,3.009759,56.374474,53.364715
